name,address,gu,brand,gas_price,dsel_price,SELF,CWSH,LPG,MAINT,CVS,SEL24,lat,lng
HD현대오일뱅크㈜직영 가양주유소,서울 강서구  양천로 391 (가양동),강서구,HD현대오일뱅크,1599,1559,N,Y,N,N,N,N,37.5678802,126.8510787
세원제1주유소,서울 강서구 양천로 311 (가양동),강서구,SK에너지,1608,1568,Y,Y,N,Y,N,N,37.5678802,126.8510787
대성주유소,서울 강서구 강서로 472,강서구,GS칼텍스,1618,1558,N,Y,N,Y,N,N,37.5675028,126.8414186
SK KH에너지 가양주유소,서울 강서구 강서로 498 (가양동),강서구,SK에너지,1618,1578,N,Y,N,Y,Y,Y,37.5697823,126.8419022
박물관주유소,서울 강서구 양천로53길 97 (가양동),강서구,GS칼텍스,1658,1598,N,Y,N,Y,Y,N,37.5657849,126.8451216
코리나(주)청룡주유소,서울 강서구 양천로 576,강서구,SK에너지,1678,1598,N,Y,N,N,N,N,37.5567325,126.862765
참솔에너지,서울 강서구 벌말로 281 (오곡동),강서구,S-OIL,1760,1680,Y,Y,N,N,N,N,37.5562519,126.7684491
염창동주유소,서울 강서구 양천로 720 (염창동),강서구,SK에너지,1935,1860,N,Y,N,N,N,N,37.5491113,126.8757906
HD현대오일뱅크㈜직영 문성골주유소,서울 관악구 문성로 97 (신림동),관악구,HD현대오일뱅크,1559,1464,N,Y,N,N,N,N,37.4777941,126.9143022
(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동),관악구,알뜰주유소,1564,1464,Y,Y,N,N,N,N,37.480413,126.9306665
(주)한유에너지행운셀프주유소,서울 관악구 남부순환로 1883 (봉천동),관악구,SK에너지,1564,1464,Y,Y,N,N,N,N,37.4791083,126.9591697
대양석유(주)직영 보라매주유소,서울 관악구  보라매로 26 (봉천동),관악구,SK에너지,1569,1474,Y,Y,N,N,N,N,37.4916874,126.9271603
서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),관악구,GS칼텍스,1575,1475,Y,Y,N,Y,N,Y,37.47717919999999,126.9623883
SK에너지(주) 신봉천,서울 관악구 남부순환로 1880 (봉천동),관악구,SK에너지,1595,1495,N,Y,N,N,Y,N,37.4787572,126.9583432
SK에너지(주)직영 대공원주유소,서울 관악구 과천대로 921 (남현동),관악구,SK에너지,1595,1495,N,Y,N,Y,Y,N,37.4728556,126.9821515
유림주유소,서울 관악구 신림로 176 (신림동),관악구,S-OIL,1598,1498,N,Y,N,Y,N,Y,37.4737247,126.93488
관악시몬주유소,서울특별시 관악구 남부순환로 1753 (봉천동),관악구,S-OIL,1665,1565,N,Y,N,N,N,N,37.4823585,126.945101
CJ대한통운㈜ 신림주유소,서울 관악구 남부순환로 1515 (신림동),관악구,GS칼텍스,1748,1668,N,Y,N,N,N,N,37.4829496,126.9189553
(주)창원CW,서울 광진구 광나루로 460 (화양동),광진구,HD현대오일뱅크,1519,1435,Y,Y,N,N,N,N,37.5451042,127.0804969
HD현대오일뱅크㈜직영 능동주유소,서울 광진구 천호대로 584 (능동),광진구,HD현대오일뱅크,1519,1435,Y,Y,N,Y,N,Y,37.5555551,127.082455
태양주유소,서울 광진구 동일로 345 (중곡동),광진구,HD현대오일뱅크,1524,1444,N,N,N,N,N,Y,37.56354400000001,127.0888304
(주)장수주유소,서울 광진구 동일로 266 (군자동),광진구,SK에너지,1527,1447,Y,N,N,Y,N,Y,37.5549721,127.0715197
HD현대오일뱅크㈜직영 중원셀프주유소,서울 광진구 동일로 398 (중곡동),광진구,HD현대오일뱅크,1528,1449,Y,Y,N,N,N,N,37.56354400000001,127.0888304
HD현대오일뱅크㈜직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),광진구,HD현대오일뱅크,1528,1449,Y,Y,N,N,N,N,37.56094119999999,127.0957458
HD현대오일뱅크㈜직영 장호셀프주유소,서울 광진구 자양로 37 (자양동),광진구,HD현대오일뱅크,1528,1455,Y,Y,N,Y,N,N,37.5312783,127.0858325
