구별,소계,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
강남구,3238,150.6191950464396,561052,556164,4888,65060,0.8712204929311365,11.59607309126427,0.5771301055873609,1549.2003260063495
강동구,1010,166.490765171504,440359,436223,4136,56161,0.9392336707095802,12.75345797406207,0.2293583190079004,-544.6423220628246
강북구,831,125.2032520325203,328002,324479,3523,56530,1.074078816592582,17.23465100822556,0.2533521137066237,-598.7509232999155
강서구,911,134.7938144329897,608255,601691,6564,76032,1.079152658013498,12.50002055059145,0.149772710458607,-830.268578430451
관악구,2109,149.290780141844,520929,503297,17632,70046,3.384722294209,13.44636217219621,0.4048536364840506,464.7993949790366
광진구,878,53.22862129144852,372298,357703,14595,43953,3.920246684107892,11.80586519401125,0.2358325857243391,-600.9885266499678
구로구,1884,64.97373029772329,441559,410742,30817,58794,6.979135291093602,13.31509492502701,0.4266700486231738,328.0238075195291
금천구,1348,100.0,253491,235154,18337,34170,7.233787392846295,13.47976851249157,0.5317743036241918,1.072425607790592
노원구,1566,188.929889298893,558075,554403,3672,74243,0.6579760784840748,13.30340904000358,0.2806074452358554,-119.49056379920603
도봉구,825,246.6386554621849,346234,344166,2068,53488,0.5972839178128087,15.44851170017965,0.2382781587019184,-625.0168611786889
동대문구,1870,74.76635514018692,366011,350647,15364,55718,4.197688047626984,15.22303974470713,0.510913606421665,397.99984277981775
동작구,1302,139.3382352941177,408493,396217,12276,57255,3.005192255436445,14.01615205156514,0.3187325119402291,-217.2213931222259
마포구,980,212.1019108280255,385783,374915,10868,49615,2.817127763535459,12.86085701028817,0.2540288193103377,-513.9778954682686
서대문구,1254,48.5781990521327,325028,312800,12228,49266,3.762137415853403,15.15746335700309,0.385812914579667,-172.4451477815153
서초구,2297,63.37126600284495,445401,441102,4299,53205,0.9651976533505762,11.94541547953417,0.515715052278733,736.753199065698
성동구,1327,81.78082191780823,312711,304808,7903,41273,2.52725359837038,13.19844840763517,0.4243534765326452,-85.7540795030568
성북구,1651,63.62735381565907,455407,444055,11352,66251,2.492715307406342,14.54764639103044,0.3625328552262043,79.63094289989021
송파구,1081,104.3478260869565,671173,664496,6677,76582,0.9948254771869548,11.41017293603885,0.1610613061014075,-730.2056275450118
양천구,2482,34.67173087357569,475018,471154,3864,55234,0.8134428590074482,11.62776989503556,0.5225065155425689,888.8321655995046
영등포구,1277,157.979797979798,402024,368550,33474,53981,8.326368575010447,13.42730782241856,0.3176427277973454,-235.0307200124305
용산구,2096,53.21637426900585,244444,229161,15283,36882,6.252147731177693,15.08811834203335,0.8574561044656445,759.1286969981627
은평구,2108,85.23725834797891,491202,486794,4408,74559,0.8973904829377731,15.17888770811194,0.4291513471036356,496.84269990018083
종로구,1619,248.9224137931034,164257,154770,9487,26182,5.775705144986211,15.93965553979435,0.9856505354414119,371.26125298133593
중구,1023,147.6997578692494,134593,125709,8884,21384,6.600640449354721,15.88789907350308,0.7600692458003017,-191.76547029444623
중랑구,916,79.96070726915521,412780,408226,4554,59262,1.103251126508067,14.35680023256941,0.2219099762585397,-607.9866451892674
