,상호,주소,가격,셀프,상표,구
355,SK구로주유소,서울 구로구 구일로 94 (구로동),1539.0,N,SK에너지,구로구
356,구인주유소,서울 구로구 경인로 558 (구로동),1539.0,N,SK에너지,구로구
357,대성산업(주)디큐브주유소,서울 구로구 경인로 650 (신도림동),1555.0,N,GS칼텍스,구로구
358,HD현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,1574.0,Y,HD현대오일뱅크,구로구
359,SK에너지(주)직영 개봉동주유소,서울 구로구 경인로 290 (개봉동),1577.0,N,SK에너지,구로구
360,HD현대오일뱅크㈜직영 신구로주유소,서울 구로구 가마산로 293 (구로동),1584.0,N,HD현대오일뱅크,구로구
361,개봉주유소,서울 구로구 고척로 115 (개봉동),1597.0,Y,HD현대오일뱅크,구로구
362,영진주유소,서울 구로구 구로동로 20 (가리봉동),1699.0,N,S-OIL,구로구
363,동아주유소,서울 구로구 도림로 91 (구로동),1798.0,N,S-OIL,구로구
364,JHC에너지,서울 구로구 시흥대로 539,1853.0,N,HD현대오일뱅크,구로구
365,구로주유소,서울 구로구 구로동로 137 (구로동),2240.0,N,GS칼텍스,구로구
366,구광주유소,서울 금천구 서부샛길 674 (가산동),1525.0,N,S-OIL,금천구
367,(주)화동유업 화동주유소,서울 금천구 시흥대로 484,1527.0,Y,SK에너지,금천구
368,(주)백운주유소,서울 금천구 시흥대로 282 (독산동),1529.0,Y,알뜰주유소,금천구
369,HD현대오일뱅크㈜직영 금천현대셀프주유소,서울 금천구 독산로 147 (시흥동),1532.0,Y,HD현대오일뱅크,금천구
370,백산주유소,서울특별시 금천구  시흥대로 174 (시흥동),1575.0,Y,S-OIL,금천구
371,대득에너지(금천셀프주유소),서울 금천구  시흥대로 81 (시흥동),1575.0,Y,GS칼텍스,금천구
372,지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,1579.0,Y,GS칼텍스,금천구
373,현대오일뱅크㈜직영 금천제일주유소,서울 금천구 남부순환로 1410 (독산동),1579.0,N,HD현대오일뱅크,금천구
374,SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),1595.0,Y,SK에너지,금천구
375,남서울경복에너지,서울 금천구 독산로 257 (독산동),1595.0,Y,HD현대오일뱅크,금천구
376,SK에너지(주) 이가주유소,서울 금천구 시흥대로 441,1595.0,N,SK에너지,금천구
377,남선석유(주)구도일주유소 불암,서울 노원구 한글비석로 268 (중계동),1525.0,Y,S-OIL,노원구
378,화랑대주유소,서울 노원구 화랑로 483,1535.0,Y,HD현대오일뱅크,노원구
379,삼육주유소,서울 노원구 화랑로 822 (공릉동),1535.0,Y,SK에너지,노원구
380,이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),1535.0,Y,GS칼텍스,노원구
381,(주)정건에너지직영,서울 노원구 노원로17길 29 (하계동),1535.0,Y,HD현대오일뱅크,노원구
382,태릉솔밭주유소,서울 노원구 노원로 49 (공릉동),1545.0,Y,S-OIL,노원구
383,월계주유소,서울 노원구 월계로 252 (월계동),1545.0,Y,GS칼텍스,노원구
384,한신주유소,서울 노원구 동일로 1089 (공릉동),1550.0,Y,S-OIL,노원구
385,성북역주유소,서울 노원구 광운로 95 (월계동),1568.0,N,GS칼텍스,노원구
386,SK에너지㈜직영 상계주유소,서울 노원구 노해로 527 (상계동),1569.0,N,SK에너지,노원구
387,(주)소모 수락산셀프주유소,서울 노원구 동일로 1772,1595.0,Y,GS칼텍스,노원구
388,상계동주유소,서울 노원구 노원로26길 191 (상계동),1595.0,N,HD현대오일뱅크,노원구
389,신성주유소,서울 노원구 월계로 328 (월계동),1598.0,Y,S-OIL,노원구
390,하계삼호주유소,서울 노원구 공릉로 294 (하계동),1745.0,N,GS칼텍스,노원구
391,이케이에너지 주식회사,서울 도봉구 도봉로 941 (도봉동),1490.0,Y,HD현대오일뱅크,도봉구
392,한이에너지(주) 쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),1499.0,Y,S-OIL,도봉구
393,(주)헨지스에너지 구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),1499.0,Y,S-OIL,도봉구
394,도봉제일주유소(주)송만에너지,서울 도봉구 도봉로 783 (도봉동),1499.0,N,HD현대오일뱅크,도봉구
395,지에스칼텍스㈜ 방학동주유소,서울 도봉구 방학로 186,1499.0,Y,GS칼텍스,도봉구
396,(주)쌍문셀프주유소,서울 도봉구 노해로 161 (쌍문동),1499.0,Y,HD현대오일뱅크,도봉구
397,지에스칼텍스㈜ 도봉주유소,서울 도봉구 도봉로 895 (도봉동),1499.0,Y,GS칼텍스,도봉구
398,(주)자연에너지 햇살주유소,서울 도봉구 방학로 142 (방학동),1499.0,Y,HD현대오일뱅크,도봉구
399,극동유화(주) 대안주유소,서울 도봉구 마들로 574 (창동),1519.0,Y,S-OIL,도봉구
400,삼미북부셀프주유소,서울 도봉구 도봉로 437 (쌍문동),1529.0,Y,SK에너지,도봉구
401,동일석유(주) 창동주유소,서울 도봉구  도봉로 434 (창동),1535.0,Y,SK에너지,도봉구
402,구도일주유소 파크빌,서울 도봉구 해등로3길 86 (창동),1535.0,Y,S-OIL,도봉구
403,노원교주유소,서울 도봉구 마들로 776 (도봉동),1545.0,Y,HD현대오일뱅크,도봉구
404,대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),1565.0,Y,GS칼텍스,도봉구
405,오복주유소,서울 도봉구 방학로 43,1625.0,Y,S-OIL,도봉구
406,HD현대오일뱅크㈜직영 영신주유소,서울 도봉구 방학로 151,1657.0,N,HD현대오일뱅크,도봉구
407,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),1559.0,Y,SK에너지,강남구
408,HD현대오일뱅크㈜직영 산성셀프주유소,서울 강남구 헌릉로 730,1569.0,Y,HD현대오일뱅크,강남구
409,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),1598.0,Y,SK에너지,강남구
410,극동유화㈜ 개나리주유소,서울 강남구 언주로 423 (역삼동),1615.0,Y,S-OIL,강남구
411,방죽주유소,서울 강남구 밤고개로 215 (율현동),1617.0,Y,GS칼텍스,강남구
412,HD현대오일뱅크㈜직영 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),1619.0,Y,HD현대오일뱅크,강남구
413,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),1625.0,Y,SK에너지,강남구
414,HD현대오일뱅크㈜직영 유진주유소,서울 강남구 논현로 152 (도곡동),1629.0,N,HD현대오일뱅크,강남구
415,삼성동주유소,서울 강남구 테헤란로 619 (삼성동),1635.0,Y,HD현대오일뱅크,강남구
416,일원주유소,서울 강남구 양재대로55길 3 (일원동),1637.0,Y,S-OIL,강남구
417,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),1637.0,Y,SK에너지,강남구
418,대교셀프주유소,서울 강남구 강남대로 640 (신사동),1680.0,Y,SK에너지,강남구
419,SK서광주유소,서울 강남구 역삼로 142,1685.0,Y,SK에너지,강남구
420,SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,1689.0,N,SK에너지,강남구
421,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),1698.0,N,S-OIL,강남구
422,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),1699.0,Y,GS칼텍스,강남구
423,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,1737.0,Y,SK에너지,강남구
424,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),1747.0,Y,SK에너지,강남구
425,지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),1864.0,Y,GS칼텍스,강남구
426,HD현대오일뱅크㈜직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),1878.0,N,HD현대오일뱅크,강남구
427,지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,1884.0,N,GS칼텍스,강남구
428,대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,1899.0,N,GS칼텍스,강남구
429,지에스칼텍스(주)학여울주유소,서울 강남구 남부순환로 3170 (일원2동),2010.0,N,GS칼텍스,강남구
430,HD현대오일뱅크㈜직영 한양주유소,서울 강남구 압구정로 302 (신사동),2083.0,N,HD현대오일뱅크,강남구
431,명품주유소,서울 강남구 도곡로 249 (역삼동),2128.0,Y,S-OIL,강남구
432,(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,2142.0,N,GS칼텍스,강남구
433,㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,2158.0,N,HD현대오일뱅크,강남구
434,대청주유소,서울 강남구 개포로 654 (일원동),2195.0,N,SK에너지,강남구
435,SK논현주유소,서울 강남구 논현로 747 (논현동),2395.0,N,SK에너지,강남구
436,(주)제이제이네트웍스 제이제이주유소,서울 강남구 언주로 716,2490.0,N,HD현대오일뱅크,강남구
437,(주)만정에너지 삼보주유소,서울 강남구 봉은사로 433 (삼성동),2598.0,N,GS칼텍스,강남구
