,상호,주소,가격,셀프,상표,구
155,(주)잠실에너지,서울 송파구 송파대로 442 (송파동),1595.0,Y,S-OIL,송파구
156,(주)정직한주유소,서울 송파구 오금로 455 (거여동),1597.0,Y,HD현대오일뱅크,송파구
157,제트라인DM주유소,서울 송파구 중대로 183 (가락동),1598.0,N,HD현대오일뱅크,송파구
158,대성석유(주)석촌주유소,서울 송파구 백제고분로 289,1617.0,N,GS칼텍스,송파구
159,(주)삼표에너지 우리주유소,서울 송파구 동남로 153,1617.0,Y,GS칼텍스,송파구
160,송파주유소,서울 송파구 송이로 28 (송파동),1625.0,Y,GS칼텍스,송파구
161,(주)삼표에너지 훼미리주유소,서울 송파구 중대로 58 (문정동),1627.0,N,GS칼텍스,송파구
162,(주)퍼스트오일서울주유소,서울 송파구 문정로 153,1630.0,N,S-OIL,송파구
163,HD현대오일뱅크㈜직영 올림픽셀프주유소,서울 송파구 위례성대로 188 (오금동),1648.0,Y,HD현대오일뱅크,송파구
164,대신석유(주)진양주유소,서울 송파구 올림픽로 499 (풍납동),1868.0,N,SK에너지,송파구
165,양천구주유소,서울 양천구 국회대로 275 (목동),1495.0,Y,알뜰주유소,양천구
166,플라트(주)서호주유소,서울 양천구 남부순환로 317,1504.0,Y,GS칼텍스,양천구
167,현대주유소,서울 양천구 남부순환로 372 (신월동),1504.0,Y,S-OIL,양천구
168,가로공원주유소,서울 양천구 가로공원로 165 (신월동),1504.0,N,SK에너지,양천구
169,(주)타이거오일 신정주유소,서울 양천구 중앙로 226 (신정동),1514.0,Y,SK에너지,양천구
170,형산석유(주)원주유소,서울 양천구 남부순환로 408,1525.0,N,HD현대오일뱅크,양천구
171,개나리Self주유소,서울 양천구 남부순환로 442 (신월동),1525.0,Y,SK에너지,양천구
172,신월주유소,서울 양천구 신월로 193 (신월동),1534.0,Y,GS칼텍스,양천구
173,HD현대오일뱅크㈜직영 남부순환셀프주유소,서울 양천구 남부순환로 553 (신월동),1539.0,Y,HD현대오일뱅크,양천구
174,현대오일뱅크(주)직영 양천셀프주유소,서울 양천구 목동로 17,1544.0,Y,HD현대오일뱅크,양천구
175,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),1549.0,Y,GS칼텍스,양천구
176,신정동주유소,서울 양천구 안양천로 663 (신정동),1565.0,Y,HD현대오일뱅크,양천구
177,목동주유소,서울 양천구 목동중앙로 125 (목동),1567.0,Y,SK에너지,양천구
178,지에스칼텍스㈜ 건지주유소,서울 양천구 안양천로 1171 (목동),1569.0,Y,GS칼텍스,양천구
179,현대오일뱅크㈜직영 목동셀프주유소,서울 양천구 공항대로 648 (목동),1569.0,Y,HD현대오일뱅크,양천구
180,현대오일뱅크(주)직영 양천현대셀프주유소,서울 양천구 안양천로 1179 (목동),1569.0,Y,HD현대오일뱅크,양천구
181,현대오일뱅크(주)직영 양정주유소,서울 양천구 국회대로 158 (신정동),1569.0,N,HD현대오일뱅크,양천구
182,(주)삼표에너지 목동주유소,서울 양천구 목동서로 129 (목동),1569.0,Y,GS칼텍스,양천구
183,SK에너지(주) 경인주유소,서울 양천구 국회대로 170 (신정동),1579.0,Y,SK에너지,양천구
184,SK에너지(주) 신평,서울 양천구 목동남로 62,1579.0,N,SK에너지,양천구
185,삼미상사(주)신월IC셀프주유소,서울 양천구 중앙로 331 (신월동),1584.0,Y,SK에너지,양천구
186,(주)서부트럭터미날,서울 양천구 신정로 167 (신정동),1599.0,N,HD현대오일뱅크,양천구
187,현대오일뱅크(주)직영 신목동셀프주유소,서울 양천구 목동동로10길 13,1649.0,Y,HD현대오일뱅크,양천구
